Graph_y
Time (Seconds),y (Meters),y_dot (Meters/Seconds)
199.600006,-0.657209,-0.000139
199.650009,-0.657218,-0.000190
199.699997,-0.657206,0.000240
199.750000,-0.657211,-0.000087
199.800003,-0.657211,-0.0000095
199.850006,-0.657214,-0.000045
199.900009,-0.657206,0.000145
199.949997,-0.657203,0.000066
200.000000,-0.657216,-0.000253
200.050003,-0.657187,0.000570
200.100006,-0.657221,-0.000679
200.150009,-0.657168,0.001066
200.199997,-0.657171,-0.000055
200.250000,-0.657187,-0.000321
200.300003,-0.657189,-0.000044
200.350006,-0.657189,0.0000036
200.400009,-0.657185,0.000072
200.449997,-0.657175,0.000199
200.500000,-0.657181,-0.000117
200.550003,-0.657190,-0.000186
200.600006,-0.657186,0.000087
200.650009,-0.657188,-0.000038
200.699997,-0.657188,0.0000048
200.750000,-0.657182,0.000114
200.800003,-0.657186,-0.000077
200.850006,-0.657189,-0.000061
200.900009,-0.657197,-0.000170
200.949997,-0.657614,-0.008334
201.000000,-0.658979,-0.027308
201.050003,-0.661524,-0.050889
201.100006,-0.665232,-0.074167
201.150009,-0.669725,-0.089856
201.199997,-0.674489,-0.095273
201.250000,-0.679323,-0.096689
201.300003,-0.684229,-0.098113
201.350006,-0.689207,-0.099562
201.400009,-0.694176,-0.099376
201.449997,-0.699098,-0.098436
201.500000,-0.703939,-0.096838
201.550003,-0.708625,-0.093716
201.600006,-0.713121,-0.089910
201.650009,-0.717360,-0.084786
201.699997,-0.721263,-0.078055
201.750000,-0.724721,-0.069156
201.800003,-0.727689,-0.059359
201.850006,-0.730062,-0.047469
201.900009,-0.731769,-0.034140
201.949997,-0.732653,-0.017681
202.000000,-0.732653,0.000012
202.050003,-0.731658,0.019882
202.100006,-0.729678,0.039610
202.150009,-0.726885,0.055851
202.199997,-0.723482,0.068064
202.250000,-0.719594,0.077764
202.300003,-0.715330,0.085289
202.350006,-0.710793,0.090740
202.400009,-0.706099,0.093880
202.449997,-0.701303,0.095906
202.500000,-0.696463,0.096798
202.550003,-0.691601,0.097239
202.600006,-0.686854,0.094959
202.650009,-0.682285,0.091374
202.699997,-0.677984,0.086010
202.750000,-0.674009,0.079515
202.800003,-0.670398,0.072215
202.850006,-0.667164,0.064673
202.900009,-0.664425,0.054780
202.949997,-0.662216,0.044187
203.000000,-0.660521,0.033897
203.050003,-0.659398,0.022460
203.100006,-0.658694,0.014077
203.150009,-0.658214,0.009594
203.199997,-0.657937,0.005538
203.250000,-0.657852,0.001701
203.300003,-0.657899,-0.000930
203.350006,-0.657921,-0.000441
203.400009,-0.657903,0.000358
203.449997,-0.657895,0.000157
203.500000,-0.657895,0.000000
203.550003,-0.657902,-0.000137
203.600006,-0.657912,-0.000200
203.650009,-0.657916,-0.000072
203.699997,-0.657904,0.000231
203.750000,-0.657918,-0.000285
203.800003,-0.657926,-0.000148
203.850006,-0.657919,0.000131
203.900009,-0.657911,0.000165
203.949997,-0.657907,0.000085
204.000000,-0.657916,-0.000180
204.050003,-0.657916,-0.0000095
204.100006,-0.657917,-0.000014
204.150009,-0.657923,-0.000123
204.199997,-0.657914,0.000185
204.250000,-0.657913,0.000023
204.300003,-0.657931,-0.000374
204.350006,-0.657926,0.000107
204.400009,-0.657920,0.000122
204.449997,-0.657922,-0.000044
204.500000,-0.657925,-0.000056
204.550003,-0.657920,0.000105
204.600006,-0.657915,0.000101
204.650009,-0.657917,-0.000042
204.699997,-0.657922,-0.000110
204.750000,-0.657918,0.000083
204.800003,-0.657926,-0.000153
204.850006,-0.657932,-0.000124
204.900009,-0.657928,0.000075
204.949997,-0.657924,0.000077
205.000000,-0.657931,-0.000142
205.050003,-0.657942,-0.000207
205.100006,-0.657937,0.000086
205.150009,-0.657934,0.000072
205.199997,-0.657930,0.000070
205.250000,-0.657940,-0.000196
205.300003,-0.657940,0.000011
205.350006,-0.657931,0.000178
205.400009,-0.657932,-0.000018
205.449997,-0.657941,-0.000185
205.500000,-0.657940,0.0000072
205.550003,-0.657941,-0.000011
205.600006,-0.657938,0.000056
205.650009,-0.657944,-0.000120
205.699997,-0.657948,-0.000076
205.750000,-0.657946,0.000045
205.800003,-0.657953,-0.000143
205.850006,-0.657955,-0.000042
205.900009,-0.657952,0.000066
205.949997,-0.657947,0.000101
206.000000,-0.657925,0.000426
206.050003,-0.657913,0.000248
206.100006,-0.657935,-0.000446
206.150009,-0.657949,-0.000267
206.199997,-0.657952,-0.000077
206.250000,-0.657952,0.000012
206.300003,-0.657957,-0.000093
206.350006,-0.657962,-0.000110
206.400009,-0.657968,-0.000112
206.449997,-0.657952,0.000317
206.500000,-0.657947,0.000095
206.550003,-0.657955,-0.000157
206.600006,-0.657961,-0.000116
206.650009,-0.657957,0.000075
206.699997,-0.657956,0.0000095
206.750000,-0.657965,-0.000168
206.800003,-0.657961,0.000077
206.850006,-0.657961,0.0000083
206.900009,-0.657968,-0.000145
206.949997,-0.657965,0.000063
207.000000,-0.657958,0.000134
207.050003,-0.657956,0.000042
207.100006,-0.657968,-0.000232
207.150009,-0.657954,0.000271
207.199997,-0.657951,0.000060
207.250000,-0.657963,-0.000235
207.300003,-0.657965,-0.000037
207.350006,-0.657970,-0.000112
207.400009,-0.657954,0.000321
207.449997,-0.657959,-0.000098
207.500000,-0.657977,-0.000361
207.550003,-0.657972,0.000095
207.600006,-0.657977,-0.000088
207.650009,-0.657976,0.000015
207.699997,-0.657973,0.000069
207.750000,-0.657983,-0.000219
207.800003,-0.657995,-0.000221
207.850006,-0.657993,0.000030
207.900009,-0.657994,-0.000023
207.949997,-0.657994,0.0000060
208.000000,-0.657999,-0.000098
208.050003,-0.657992,0.000126
208.100006,-0.657992,0.000015
208.150009,-0.657987,0.000098
208.199997,-0.657988,-0.000017
208.250000,-0.657994,-0.000132
208.300003,-0.657990,0.000085
208.350006,-0.657988,0.000045
208.400009,-0.657994,-0.000130
208.449997,-0.658022,-0.000551
208.500000,-0.657985,0.000731
208.550003,-0.657938,0.000949
208.600006,-0.657957,-0.000384
208.650009,-0.657982,-0.000497
208.699997,-0.657965,0.000345
208.750000,-0.657949,0.000314
208.800003,-0.657960,-0.000221
208.850006,-0.657977,-0.000348
