Graph_z
Time (Seconds),z (Meters),z_dot (Meters/Seconds)
217.850006,1.669660,-0.000186
217.900009,1.669756,0.001931
217.949997,1.670117,0.007222
218.000000,1.671033,0.018318
218.050003,1.672858,0.036497
218.100006,1.675759,0.058017
218.150009,1.679761,0.080035
218.199997,1.684909,0.102968
218.250000,1.691262,0.127065
218.300003,1.698872,0.152190
218.350006,1.707796,0.178483
218.400009,1.718122,0.206518
218.449997,1.729505,0.227666
218.500000,1.741648,0.242865
218.550003,1.754499,0.257013
218.600006,1.768095,0.271926
218.650009,1.782503,0.288162
218.699997,1.797782,0.305564
218.750000,1.813993,0.324233
218.800003,1.831149,0.343111
218.850006,1.849134,0.359700
218.900009,1.867871,0.374744
218.949997,1.887304,0.388665
219.000000,1.907377,0.401466
219.050003,1.928028,0.413017
219.100006,1.949178,0.422995
219.150009,1.970773,0.431900
219.199997,1.992684,0.438213
219.250000,2.014806,0.442445
219.300003,2.037034,0.444560
219.350006,2.059223,0.443783
219.400009,2.081237,0.440273
219.449997,2.102921,0.433674
219.500000,2.124112,0.423837
219.550003,2.144645,0.410662
219.600006,2.164349,0.394077
219.650009,2.183043,0.373883
219.699997,2.200572,0.350561
219.750000,2.216755,0.323677
219.800003,2.231438,0.293651
219.850006,2.244475,0.260749
219.900009,2.255722,0.224924
219.949997,2.265084,0.187240
220.000000,2.272578,0.149884
220.050003,2.278317,0.114794
220.100006,2.282436,0.082378
220.150009,2.285074,0.052752
220.199997,2.286375,0.026026
220.250000,2.286497,0.002427
220.300003,2.285594,-0.018063
220.350006,2.283823,-0.035415
220.400009,2.281327,-0.049920
220.449997,2.278260,-0.061345
220.500000,2.274762,-0.069942
220.550003,2.270958,-0.076079
220.600006,2.266785,-0.083475
220.650009,2.262864,-0.078411
220.699997,2.258846,-0.080357
220.750000,2.254899,-0.078955
220.800003,2.251107,-0.075827
220.850006,2.247545,-0.071249
220.900009,2.244254,-0.065808
220.949997,2.241267,-0.059738
221.000000,2.238606,-0.053225
221.050003,2.236277,-0.046577
221.100006,2.234289,-0.039773
221.150009,2.232636,-0.033054
221.199997,2.231298,-0.026765
221.250000,2.230248,-0.020986
221.300003,2.229458,-0.015817
221.350006,2.228886,-0.011435
221.400009,2.228499,-0.007730
221.449997,2.228254,-0.004911
221.500000,2.228083,-0.003414
221.550003,2.227952,-0.002618
221.600006,2.227850,-0.002046
221.650009,2.227772,-0.001559
221.699997,2.227721,-0.001011
221.750000,2.227692,-0.000591
221.800003,2.227674,-0.000348
221.850006,2.227666,-0.000162
221.900009,2.227657,-0.000191
221.949997,2.227646,-0.000215
222.000000,2.227640,-0.000114
222.050003,2.227640,-0.000014
222.100006,2.227643,0.000062
222.150009,2.227643,0.0000095
222.199997,2.227641,-0.000052
222.250000,2.227641,0.000000
222.300003,2.227641,0.0000095
222.350006,2.227643,0.000038
222.400009,2.227645,0.000038
222.449997,2.227644,-0.000014
