Graph_roll
Time (Seconds),roll (Degrees),roll_dot (Degrees/Seconds)
192.699997,179.872147,-0.249226
192.750000,179.869659,-0.049721
192.800003,179.876450,0.135776
192.850006,179.888809,0.247238
192.900009,179.908005,0.383833
192.949997,179.938873,0.617600
193.000000,179.986603,0.954529
193.050003,-179.940018,1.467381
193.100006,-179.833237,2.135533
193.150009,-179.685394,2.956745
193.199997,-179.489166,3.925585
193.250000,-179.242493,4.933008
193.300003,-178.965271,5.544136
193.350006,-178.709259,5.119871
193.400009,-178.517288,3.839425
193.449997,-178.399429,2.357537
193.500000,-178.356476,0.859185
193.550003,-178.386871,-0.607850
193.600006,-178.495987,-2.182249
193.650009,-178.690582,-3.891604
193.699997,-178.979324,-5.776472
193.750000,-179.365448,-7.721741
193.800003,-179.850906,-9.708658
193.850006,179.560150,-11.778152
193.900009,178.863098,-13.940385
193.949997,178.053986,-16.186035
194.000000,177.129227,-18.494204
194.050003,176.083740,-20.908392
194.100006,174.915680,-23.359734
194.150009,173.620972,-25.892759
194.199997,172.199234,-28.441568
194.250000,170.646729,-31.048145
194.300003,168.961121,-33.710117
194.350006,167.141235,-36.395584
194.400009,165.185745,-39.107277
194.449997,163.093246,-41.860432
194.500000,160.862946,-44.603058
194.550003,158.495010,-47.356003
194.600006,155.989563,-50.105942
194.650009,153.349960,-52.788677
194.699997,150.595886,-55.094830
194.750000,147.822556,-55.463490
194.800003,145.082565,-54.796356
194.850006,142.389801,-53.851936
194.900009,139.767715,-52.438446
194.949997,137.206345,-51.240021
195.000000,134.719254,-49.738773
195.050003,132.299332,-48.395493
195.100006,129.948547,-47.012875
195.150009,127.668610,-45.595833
195.199997,125.460670,-44.169598
195.250000,123.330559,-42.599751
195.300003,121.272484,-41.158939
195.350006,119.293655,-39.574162
195.400009,117.395012,-37.970528
195.449997,115.577812,-36.352859
195.500000,113.838371,-34.786625
195.550003,112.182434,-33.116745
195.600006,110.613747,-31.371876
195.650009,109.128174,-29.709646
195.699997,107.730362,-27.963064
195.750000,106.419502,-26.215672
195.800003,105.200859,-24.371361
195.850006,104.062691,-22.761992
195.900009,103.017456,-20.903337
195.949997,102.067810,-18.997618
196.000000,101.209862,-17.157892
196.050003,100.444298,-15.310301
196.100006,99.772293,-13.439216
196.150009,99.188004,-11.685194
196.199997,98.660339,-10.555765
196.250000,98.183716,-9.531904
196.300003,97.792740,-7.819133
196.350006,97.499565,-5.863087
196.400009,97.335457,-3.281979
196.449997,97.345695,0.204819
196.500000,97.591042,4.906645
196.550003,98.353951,15.257302
196.600006,100.227997,37.478649
196.650009,105.643700,108.307350
196.699997,-0.679517,-2126.983398
196.750000,-0.682383,-0.057315
196.800003,-0.686656,-0.085461
196.850006,-0.691915,-0.105175
196.900009,-0.691686,0.004575
196.949997,-0.691500,0.003719
197.000000,-0.691671,-0.003406
197.050003,-0.691569,0.002029
197.100006,-0.691361,0.004162
197.150009,-0.691569,-0.004162
197.199997,-0.692174,-0.012106
197.250000,-0.691855,0.006386
197.300003,-0.691539,0.006329
197.350006,-0.691901,-0.007246
197.400009,-0.691924,-0.000462
197.449997,-0.691856,0.001354
197.500000,-0.691890,-0.000677
197.550003,-0.691963,-0.001461
197.600006,-0.692298,-0.006692
197.650009,-0.691740,0.011150
197.699997,-0.691990,-0.004990
197.750000,-0.691824,0.003319
197.800003,-0.691419,0.008098
197.850006,-0.691795,-0.007517
197.900009,-0.692119,-0.006474
197.949997,-0.692193,-0.001482
198.000000,-0.692298,-0.002100
198.050003,-0.691924,0.007474
198.100006,-0.691587,0.006744
198.150009,-0.691680,-0.001863
198.199997,-0.691741,-0.001233
198.250000,-0.692087,-0.006911
198.300003,-0.692166,-0.001576
198.350006,-0.691885,0.005613
198.400009,-0.691414,0.009414
198.449997,-0.691884,-0.009386
198.500000,-0.692220,-0.006735
198.550003,-0.692426,-0.004110
198.600006,-0.691867,0.011173
198.650009,-0.691121,0.014916
198.699997,-0.691588,-0.009343
198.750000,-0.691891,-0.006043
198.800003,-0.691852,0.000772
198.850006,-0.691458,0.007878
198.900009,-0.691659,-0.004011
198.949997,-0.691921,-0.005257
199.000000,-0.691794,0.002542
199.050003,-0.691956,-0.003236
199.100006,-0.692353,-0.007929
199.150009,-0.692105,0.004948
199.199997,-0.691634,0.009424
199.250000,-0.691628,0.000121
199.300003,-0.691886,-0.005165
199.350006,-0.691477,0.008178
199.400009,-0.693991,-0.050260
199.449997,-0.691888,0.042068
199.500000,-0.690767,0.022418
199.550003,-0.691649,-0.017647
199.600006,-0.692018,-0.007379
199.650009,-0.692289,-0.005422
199.699997,-0.691695,0.011896
199.750000,-0.692063,-0.007367
199.800003,-0.692146,-0.001662
199.850006,-0.692244,-0.001960
199.900009,-0.691929,0.006303
199.949997,-0.691702,0.004531
200.000000,-0.692409,-0.014129
200.050003,-0.687019,0.107782
200.100006,-0.693566,-0.130916
200.150009,-0.691021,0.050892
200.199997,-0.691175,-0.003087
200.250000,-0.692058,-0.017663
200.300003,-0.692155,-0.001934
200.350006,-0.692145,0.000209
200.400009,-0.691873,0.005426
200.449997,-0.691358,0.010311
200.500000,-0.691696,-0.006766
200.550003,-0.692110,-0.008268
200.600006,-0.691850,0.005196
200.650009,-0.691928,-0.001568
200.699997,-0.691961,-0.000658
200.750000,-0.691645,0.006314
200.800003,-0.691789,-0.002865
200.850006,-0.691978,-0.003781
200.900009,-0.692396,-0.008357
200.949997,-0.672869,0.390628
201.000000,-0.635752,0.742284
201.050003,-0.596176,0.791485
201.100006,-0.576355,0.396401
201.150009,-0.583133,-0.135555
201.199997,-0.596166,-0.260729
201.250000,-0.606577,-0.208199
201.300003,-0.616851,-0.205475
201.350006,-0.628522,-0.233407
201.400009,-0.640325,-0.236039
201.449997,-0.651971,-0.232986
201.500000,-0.663911,-0.238786
201.550003,-0.675224,-0.226242
201.600006,-131.807770,-2622.490967
201.650009,-134.496933,-53.779816
201.699997,-137.754135,-65.160065
201.750000,-138.996216,-24.839882
201.800003,-140.967789,-39.429096
201.850006,-142.667908,-34.000519
201.900009,-145.016373,-46.966160
201.949997,-146.208664,-23.851927
202.000000,-147.705063,-29.926149
202.050003,-148.684509,-19.587515
202.100006,-150.081161,-27.931583
202.150009,-151.434662,-27.068300
202.199997,-151.953156,-10.372398
202.250000,-152.701691,-14.969769
202.300003,-153.440186,-14.768972
202.350006,-154.535217,-21.899256
202.400009,-155.924805,-27.790071
202.449997,-157.393723,-29.385458
202.500000,-158.744064,-27.005194
202.550003,-159.304977,-11.217765
202.600006,-160.090012,-15.699735
202.650009,-160.600571,-10.210509
202.699997,-161.317963,-14.351273
202.750000,-162.121735,-16.074551
202.800003,-162.924881,-16.061712
202.850006,-163.530167,-12.105089
202.900009,-164.243790,-14.271493
202.949997,-165.131180,-17.752171
203.000000,-165.685287,-11.081443
203.050003,-166.272293,-11.739559
203.100006,-166.647003,-7.493626
203.150009,-166.402588,4.887931
